,address,artists,city,county,full_address,id,images,latitude,longitude,notes,state,neighborhood
265,14864 Mendota Street,CHRISTOPHER KONECKI,Detroit,Wayne County,"Detroit, MI, USA",m0365,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0365.jpg,42.398649,-83.164515,,Michigan,Detroit
266,2217 Springwells Street,THE SOUTHWEST URBAN ARTS MURAL PROJECT,Detroit,Wayne County,"Springwells Street, Detroit, MI, USA",m0344,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0344.jpg,42.311156,-83.127016,,Michigan,Springwells Village
267,24313 Grand River Avenue,unknown,Detroit,Wayne County,"Grand River Avenue, Detroit, MI, USA",m0402,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0402.jpg,42.425526,-83.280624,alley behind building,Michigan,The Eye
268,14864 Mendota Street,REVOK,Detroit,Wayne County,"Detroit, MI, USA",m0466,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0466.jpg,42.398649,-83.164515,,Michigan,Detroit
269,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0477,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0477.jpg,42.398649,-83.164515,,Michigan,Detroit
270,5203 Maplewood Avenue,FUMEROISM,Detroit,Wayne County,"Maplewood Avenue, Detroit, MI, USA",m0443,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0443.jpg,42.359458,-83.126666,,Michigan,Detroit
271,2540 McDougall Street,JARUS,Detroit,Wayne County,"Hendricks Street, Detroit, MI, USA",m0123,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0123.jpg,42.352698,-83.025946,,Michigan,McDougall - Hunt
272,1425 Gratiot Avenue,KEVIN LYONS,Detroit,Wayne County,"Gratiot Avenue, Detroit, MI, USA",m0289,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0289.jpg,42.344682,-83.037965,,Michigan,Lafayette Park
273,14864 Mendota Street,WC BEVAN,Detroit,Wayne County,"Detroit, MI, USA",m0406,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0406.jpg,42.398649,-83.164515,,Michigan,Detroit
274,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0478,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0478.jpg,42.398649,-83.164515,,Michigan,Detroit
275,2036 Calumet Street,MALT,Detroit,Wayne County,"Calumet Street, Detroit, MI, USA",m0083,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0083.jpg,42.345028,-83.081963,,Michigan,Core City
276,125 Winder Street,2501,Detroit,Wayne County,"Winder Street, Detroit, MI, USA",m0113,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0113.jpg,42.341619,-83.05127,,Michigan,Sports Center
277,14864 Mendota Street,VITO VALDEZ,Detroit,Wayne County,"Detroit, MI, USA",m0164,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0164.jpg,42.398649,-83.164515,,Michigan,Detroit
278,6400 John R Street,RICH AYERS,Detroit,Wayne County,"East Baltimore Avenue, Detroit, MI, USA",m0298,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0298.jpg,42.369277,-83.069775,Alley behind building,Michigan,Milwaukee Junction
279,14864 Mendota Street,SCRIBBLES,Detroit,Wayne County,"Detroit, MI, USA",m0418,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0418.jpg,42.398649,-83.164515,,Michigan,Detroit
280,780 Woodward Avenue,SUMMER IN THE CITY,Detroit,Wayne County,"Woodward Avenue, Detroit, MI, USA",m0447,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0447.jpg,42.331827,-83.046212,,Michigan,Downtown Detroit
281,2600 East Grand Boulevard,JAMES BULLOUGH,Detroit,Wayne County,"Orleans Street, Detroit, MI, USA",m0119,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0119.jpg,42.376903,-83.05722,,Michigan,Milwaukee Junction
282,230 East Grand River Avenue,NICK JASKEY,Detroit,Wayne County,"East Grand River Avenue, Detroit, MI, USA",m0128,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0128.jpg,42.336,-83.046552,located in the Belt,Michigan,Downtown Detroit
283,2120 Orleans Street,HYGENIC DRESS LEAGUE,Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0194,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0194.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
284,2640 Joseph Campau Avenue,LAUREN NAPOLITANO,Detroit,Wayne County,"Hunt Street, Detroit, MI, USA",m0256,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0256.jpg,42.352713,-83.027978,located in parking lot,Michigan,McDougall - Hunt
285,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0573,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0573.jpg,42.398649,-83.164515,,Michigan,Detroit
286,1335 Adelaide Street,"NATUREL', 'RICK WILLIAMS",Detroit,Wayne County,"Adelaide Street, Detroit, MI, USA",m0118,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0118.jpg,42.346065,-83.041184,,Michigan,Eastern Market
287,7892 Chrysler Drive,JOSEPH KONERT,Detroit,Wayne County,"Russell Street, Detroit, MI, USA",m0148,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0148.jpg,42.378455,-83.062162,alley to the right of the entrance,Michigan,Milwaukee Junction
288,502 Horton Street,ANTHONY LEE,Detroit,Wayne County,"2930 East Grand Boulevard, Detroit, MI, USA",m0168,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0168.jpg,42.372942,-83.067515,,Michigan,North End
289,2600 East Grand Boulevard,SINTEX,Detroit,Wayne County,"Orleans Street, Detroit, MI, USA",m0189,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0189.jpg,42.376903,-83.05722,,Michigan,Milwaukee Junction
290,1244 Beech Street,SHADES,Detroit,Wayne County,"Beech Street, Detroit, MI, USA",m0306,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0306.jpg,42.332119,-83.063595,,Michigan,Corktown
291,1230 Library Street,"ADRIAN FALKNER', 'TRISTAN EATON', 'HENSE', 'HOW', 'NOSM', 'CYRCLE', 'MR. JAGO', 'AUGUSTINE KOFIE', 'MAYA HAYUK', 'PUSH', 'DABS MYLA', 'SAM FRIEDMAN', 'MATT W. MOORE', 'SANER', 'INTERESNI KAZKI', 'LOGAN HICKS', 'LUCY MCLAUCHLAN', 'REMI ROUGH', 'VICTOR REYES', 'GAIA', 'WAIS', 'B.",Detroit,Wayne County,"Library Street, Detroit, MI, USA",m0564,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0564.jpg,42.33428,-83.046925,,Michigan,Downtown Detroit
292,5244 Cass Avenue,unknown,Detroit,Wayne County,"Cass Avenue, Detroit, MI, USA",m0093,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0093.jpg,42.358963,-83.068361,,Michigan,Wayne State
293,230 East Grand River Avenue,TRISTAN EATON,Detroit,Wayne County,"East Grand River Avenue, Detroit, MI, USA",m0127,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0127.jpg,42.336,-83.046552,located in the Belt,Michigan,Downtown Detroit
294,125 Winder Street,MEGGS,Detroit,Wayne County,"Winder Street, Detroit, MI, USA",m0233,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0233.jpg,42.341619,-83.05127,,Michigan,Sports Center
295,975 Mack Avenue,JESSE KASSEL,Detroit,Wayne County,"Mack Avenue, Detroit, MI, USA",m0268,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0268.jpg,42.351513,-83.046979,,Michigan,Forest Park
296,6001 Russell Street,unknown,Detroit,Wayne County,"Harper Avenue, Detroit, MI, USA",m0379,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0379.jpg,42.370037,-83.057035,,Michigan,Milwaukee Junction
297,24313 Grand River Avenue,FORTE,Detroit,Wayne County,"Grand River Avenue, Detroit, MI, USA",m0397,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0397.jpg,42.425526,-83.280624,,Michigan,The Eye
298,5 Woodward Avenue,unknown,Detroit,Wayne County,"West Jefferson Avenue, Detroit, MI, USA",m0424,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0424.jpg,42.328617,-83.04502,,Michigan,Downtown Detroit
299,2120 Orleans Street,HYGENIC DRESS LEAGUE,Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0199,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0199.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
300,2120 Orleans Street,MIKE HAN (AKA ICON),Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0202,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0202.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
301,2120 Orleans Street,MIKE HAN (AKA ICON),Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0200,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0200.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
302,230 East Grand River Avenue,VHILS,Detroit,Wayne County,"East Grand River Avenue, Detroit, MI, USA",m0134,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0134.jpg,42.336,-83.046552,located in the Belt,Michigan,Downtown Detroit
303,7892 Chrysler Drive,JONNY ALEXANDER,Detroit,Wayne County,"Russell Street, Detroit, MI, USA",m0212,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0212.jpg,42.378455,-83.062162,,Michigan,Milwaukee Junction
304,2120 Orleans Street,"ELLEN RUTT', 'PATRICK ETHEN",Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0196,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0196.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
305,1425 Gratiot Avenue,SLICK,Detroit,Wayne County,"Gratiot Avenue, Detroit, MI, USA",m0152,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0152.jpg,42.344682,-83.037965,,Michigan,Lafayette Park
306,2120 Orleans Street,unknown,Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0197,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0197.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
307,1801 Division Street,BASK,Detroit,Wayne County,"Division Street, Detroit, MI, USA",m0257,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0257.jpg,42.348464,-83.037826,,Michigan,Eastern Market
308,2217 Springwells Street,unknown,Detroit,Wayne County,"Springwells Street, Detroit, MI, USA",m0343,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0343.jpg,42.311156,-83.127016,,Michigan,Springwells Village
